scenario,scheme,seed,offered_load_factor,cycle,round_start_s,round_end_s,observed_matrix_bytes,future_demand_bytes,selected_edge_count,active_edge_count,selected_hit_flows,selected_hit_bytes,selected_but_unused_lightpaths,selected_edge_jaccard,selected_oracle_jaccard,volume_oracle_jaccard,tl_oracle_jaccard,volume_future_demand_coverage,tl_future_demand_coverage,oracle_future_demand_coverage,historical_future_pearson,historical_future_topk_jaccard,demand_drift_ratio,volume_oracle_possible_bytes_missed,tl_oracle_possible_bytes_missed,volume_selected_edges,tl_ocs_selected_edges,oracle_selected_edges,raw_a_top_edges,tl_g_top_edges,future_demand_top_edges
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,4,0.02,0.025,10393790,64656000,3,3,12,15024000,0,0.4,0.166666666667,0.166666666667,0.333333333333,0.232368225687,0.364513734224,0.427616926503,0.625906002428,0.777777777778,5.22062998103,21504000,12960000,"6-7(score=2.99582e+06,gain=2.99582e+06);2-3(score=2.40393e+06,gain=2.40393e+06);0-4(score=793518,gain=793518)","6-7(score=2.39053e+06,gain=2.39053e+06);2-3(score=1.87848e+06,gain=1.87848e+06);4-5(score=617331,gain=617331);0-1(score=16410.3,gain=16410.3)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","6-7(score=2995816,gain=2995816);2-3(score=2403932,gain=2403932);0-4(score=793518,gain=793518);4-5(score=759774,gain=759774);1-2(score=702204,gain=702204);1-3(score=632732,gain=632732);4-6(score=528274,gain=528274);5-6(score=404972,gain=404972)","6-7(score=2390531.9193,gain=2390531.9193);2-3(score=1878476.92937,gain=1878476.92937);4-5(score=617331.246952,gain=617331.246952);0-4(score=596643.819808,gain=596643.819808);1-2(score=457791.332338,gain=457791.332338);1-3(score=396724.772554,gain=396724.772554);0-5(score=123219.609463,gain=123219.609463);5-6(score=58782.2083627,gain=58782.2083627)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,5,0.025,0.03,8732024,64656000,4,4,16,23568000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.701702726135,0.777777777778,6.40445788206,12960000,12960000,"2-3(score=2.48165e+06,gain=2.48165e+06);6-7(score=818628,gain=818628);4-5(score=785792,gain=785792);0-1(score=229856,gain=229856)","2-3(score=1.79807e+06,gain=1.79807e+06);6-7(score=714953,gain=714953);4-5(score=590083,gain=590083);0-1(score=14491.3,gain=14491.3)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","2-3(score=2481648,gain=2481648);6-7(score=818628,gain=818628);4-5(score=785792,gain=785792);1-2(score=772434,gain=772434);0-4(score=772312,gain=772312);1-3(score=623818,gain=623818);4-6(score=581754,gain=581754);5-6(score=510614,gain=510614)","2-3(score=1798070.28064,gain=1798070.28064);6-7(score=714953.248767,gain=714953.248767);4-5(score=590083.262145,gain=590083.262145);0-4(score=507975.077753,gain=507975.077753);1-2(score=441329.376425,gain=441329.376425);1-3(score=311226.971088,gain=311226.971088);4-6(score=310752.707808,gain=310752.707808);5-6(score=308332.3047,gain=308332.3047)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,6,0.03,0.035,11106968,64656000,4,4,16,23568000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.720524035048,0.777777777778,4.82120410196,12960000,12960000,"4-5(score=3.33108e+06,gain=3.33108e+06);2-3(score=2.48739e+06,gain=2.48739e+06);0-1(score=896444,gain=896444);6-7(score=762362,gain=762362)","4-5(score=2.58609e+06,gain=2.58609e+06);2-3(score=1.95994e+06,gain=1.95994e+06);6-7(score=689587,gain=689587);0-1(score=683929,gain=683929)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","4-5(score=3331078,gain=3331078);2-3(score=2487390,gain=2487390);0-1(score=896444,gain=896444);6-7(score=762362,gain=762362);1-2(score=728484,gain=728484);1-3(score=570598,gain=570598);4-6(score=562010,gain=562010);5-6(score=514860,gain=514860)","4-5(score=2586092.50223,gain=2586092.50223);2-3(score=1959940.58439,gain=1959940.58439);6-7(score=689586.934825,gain=689586.934825);0-1(score=683929.240444,gain=683929.240444);1-2(score=381973.967421,gain=381973.967421);1-3(score=240291.853875,gain=240291.853875);4-6(score=180576.90998,gain=180576.90998);5-6(score=119495.479751,gain=119495.479751)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,7,0.035,0.04,11091522,64656000,4,4,16,23568000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.736064046182,0.777777777778,4.82931067173,12960000,12960000,"4-5(score=3.14233e+06,gain=3.14233e+06);2-3(score=2.46517e+06,gain=2.46517e+06);6-7(score=931716,gain=931716);0-1(score=855668,gain=855668)","4-5(score=2.46057e+06,gain=2.46057e+06);2-3(score=1.93935e+06,gain=1.93935e+06);6-7(score=835261,gain=835261);0-1(score=643062,gain=643062)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","4-5(score=3142334,gain=3142334);2-3(score=2465170,gain=2465170);6-7(score=931716,gain=931716);0-1(score=855668,gain=855668);1-2(score=727794,gain=727794);1-3(score=592200,gain=592200);4-6(score=546828,gain=546828);5-6(score=517748,gain=517748)","4-5(score=2460574.81184,gain=2460574.81184);2-3(score=1939350.17305,gain=1939350.17305);6-7(score=835260.673581,gain=835260.673581);0-1(score=643061.824825,gain=643061.824825);1-2(score=385114.036684,gain=385114.036684);1-3(score=264776.415688,gain=264776.415688);4-6(score=75744.6417319,gain=75744.6417319);5-6(score=53881.4302216,gain=53881.4302216)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,8,0.04,0.045,11179528,64656000,4,4,16,23568000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.72973807049,0.777777777778,4.78342200571,12960000,12960000,"4-5(score=3.34242e+06,gain=3.34242e+06);2-3(score=2.3918e+06,gain=2.3918e+06);6-7(score=867916,gain=867916);0-1(score=866554,gain=866554)","4-5(score=2.59741e+06,gain=2.59741e+06);2-3(score=1.88316e+06,gain=1.88316e+06);6-7(score=783296,gain=783296);0-1(score=650003,gain=650003)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","4-5(score=3342420,gain=3342420);2-3(score=2391804,gain=2391804);6-7(score=867916,gain=867916);0-1(score=866554,gain=866554);1-2(score=717244,gain=717244);1-3(score=645760,gain=645760);5-6(score=525758,gain=525758);4-6(score=516946,gain=516946)","4-5(score=2597405.73778,gain=2597405.73778);2-3(score=1883160.81972,gain=1883160.81972);6-7(score=783296.051673,gain=783296.051673);0-1(score=650002.526743,gain=650002.526743);1-2(score=376378.651044,gain=376378.651044);1-3(score=314007.307115,gain=314007.307115);4-6(score=63660.390956,gain=63660.390956);5-6(score=59675.5305584,gain=59675.5305584)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.5,9,0.045,0.05,10626444,64656000,4,4,16,23568000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.706352661561,0.777777777778,5.0844364995,12960000,12960000,"4-5(score=3.30054e+06,gain=3.30054e+06);2-3(score=2.49163e+06,gain=2.49163e+06);0-1(score=820850,gain=820850);6-7(score=424138,gain=424138)","4-5(score=2.52827e+06,gain=2.52827e+06);2-3(score=1.94615e+06,gain=1.94615e+06);0-1(score=615930,gain=615930);6-7(score=389466,gain=389466)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","4-5(score=3300544,gain=3300544);2-3(score=2491632,gain=2491632);0-1(score=820850,gain=820850);1-2(score=744876,gain=744876);1-3(score=547654,gain=547654);5-6(score=546346,gain=546346);4-6(score=510510,gain=510510);6-7(score=424138,gain=424138)","4-5(score=2528265.92172,gain=2528265.92172);2-3(score=1946152.45197,gain=1946152.45197);0-1(score=615930.313098,gain=615930.313098);1-2(score=394625.445912,gain=394625.445912);6-7(score=389465.708234,gain=389465.708234);1-3(score=220360.881807,gain=220360.881807);5-6(score=209891.570219,gain=209891.570219);4-6(score=184511.096762,gain=184511.096762)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,1,0.005,0.01,1331292,96984000,3,3,18,26136000,0,0,0,0,1,0.269487750557,0.427616926503,0.427616926503,0.764884874634,0.230769230769,71.8487230969,41472000,0,"0-1(score=136458,gain=136458);2-3(score=100780,gain=100780);5-6(score=88124,gain=88124)","1-2(score=70330,gain=70330);6-7(score=68814.4,gain=68814.4);4-5(score=56216.6,gain=56216.6);0-3(score=34997.5,gain=34997.5)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","0-1(score=136458,gain=136458);0-2(score=121118,gain=121118);0-3(score=112858,gain=112858);0-4(score=112210,gain=112210);0-5(score=111400,gain=111400);0-6(score=111400,gain=111400);1-2(score=111400,gain=111400);2-3(score=100780,gain=100780)","1-2(score=70329.9690015,gain=70329.9690015);6-7(score=68814.44152,gain=68814.44152);2-3(score=63993.5737855,gain=63993.5737855);4-5(score=56216.6362331,gain=56216.6362331);5-6(score=49643.3671201,gain=49643.3671201);0-1(score=49530.9648912,gain=49530.9648912);1-3(score=44022.1650968,gain=44022.1650968);4-6(score=42286.9447424,gain=42286.9447424)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,2,0.01,0.015,11983244,96984000,3,3,18,26136000,0,1,0,0,0,0.269487750557,0.269487750557,0.427616926503,0.710185602062,0.777777777778,7.09329206687,41472000,41472000,"2-3(score=3.37841e+06,gain=3.37841e+06);5-6(score=3.07627e+06,gain=3.07627e+06);0-1(score=714206,gain=714206)","2-3(score=2.61582e+06,gain=2.61582e+06);5-6(score=2.25799e+06,gain=2.25799e+06);0-1(score=543176,gain=543176)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","2-3(score=3378414,gain=3378414);5-6(score=3076270,gain=3076270);6-7(score=862806,gain=862806);4-5(score=720720,gain=720720);0-1(score=714206,gain=714206);1-2(score=706076,gain=706076);4-6(score=608100,gain=608100);1-3(score=542486,gain=542486)","2-3(score=2615823.9707,gain=2615823.9707);5-6(score=2257993.2962,gain=2257993.2962);6-7(score=689014.503873,gain=689014.503873);0-1(score=543175.946131,gain=543175.946131);4-5(score=447768.08997,gain=447768.08997);1-2(score=348066.740994,gain=348066.740994);4-6(score=283744.639644,gain=283744.639644);1-3(score=200088.643073,gain=200088.643073)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,3,0.015,0.02,11383472,96984000,4,4,24,35352000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.667855842056,0.777777777778,7.5197106124,19440000,19440000,"2-3(score=3.48531e+06,gain=3.48531e+06);6-7(score=1.28353e+06,gain=1.28353e+06);0-1(score=1.1617e+06,gain=1.1617e+06);4-5(score=711170,gain=711170)","2-3(score=2.61524e+06,gain=2.61524e+06);6-7(score=1.08288e+06,gain=1.08288e+06);0-1(score=877131,gain=877131);4-5(score=545308,gain=545308)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","2-3(score=3485314,gain=3485314);6-7(score=1283526,gain=1283526);5-6(score=1280812,gain=1280812);0-1(score=1161704,gain=1161704);4-5(score=711170,gain=711170);4-6(score=693520,gain=693520);1-2(score=691642,gain=691642);1-3(score=675330,gain=675330)","2-3(score=2615240.12024,gain=2615240.12024);6-7(score=1082879.84219,gain=1082879.84219);5-6(score=926849.645684,gain=926849.645684);0-1(score=877130.565691,gain=877130.565691);4-5(score=545308.07889,gain=545308.07889);4-6(score=432816.590924,gain=432816.590924);1-2(score=97353.8424096,gain=97353.8424096);1-3(score=91793.165352,gain=91793.165352)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,4,0.02,0.025,15862006,96984000,4,4,24,35352000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.680293335601,0.6,5.1142281302,19440000,19440000,"4-5(score=4.04738e+06,gain=4.04738e+06);6-7(score=3.53481e+06,gain=3.53481e+06);2-3(score=3.43099e+06,gain=3.43099e+06);0-1(score=1.14419e+06,gain=1.14419e+06)","4-5(score=3.31973e+06,gain=3.31973e+06);6-7(score=2.99886e+06,gain=2.99886e+06);2-3(score=2.83038e+06,gain=2.83038e+06);0-1(score=945252,gain=945252)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=4047384,gain=4047384);6-7(score=3534810,gain=3534810);2-3(score=3430988,gain=3430988);0-1(score=1144192,gain=1144192);4-6(score=719700,gain=719700);1-2(score=712008,gain=712008);1-3(score=581176,gain=581176);0-6(score=308944,gain=308944)","4-5(score=3319731.23991,gain=3319731.23991);6-7(score=2998855.05461,gain=2998855.05461);2-3(score=2830381.20845,gain=2830381.20845);0-1(score=945251.669807,gain=945251.669807);1-2(score=370762.274206,gain=370762.274206);1-3(score=251581.486406,gain=251581.486406)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,5,0.025,0.03,15322188,96984000,4,4,24,35352000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.695721948107,0.777777777778,5.32963908649,19440000,19440000,"4-5(score=4.07752e+06,gain=4.07752e+06);2-3(score=3.36164e+06,gain=3.36164e+06);6-7(score=2.96364e+06,gain=2.96364e+06);0-1(score=1.09397e+06,gain=1.09397e+06)","4-5(score=3.30793e+06,gain=3.30793e+06);2-3(score=2.74655e+06,gain=2.74655e+06);6-7(score=2.55156e+06,gain=2.55156e+06);0-1(score=888371,gain=888371)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=4077516,gain=4077516);2-3(score=3361636,gain=3361636);6-7(score=2963636,gain=2963636);0-1(score=1093972,gain=1093972);1-3(score=684990,gain=684990);1-2(score=684612,gain=684612);4-6(score=644754,gain=644754);5-6(score=347576,gain=347576)","4-5(score=3307931.00459,gain=3307931.00459);2-3(score=2746546.96522,gain=2746546.96522);6-7(score=2551558.12801,gain=2551558.12801);0-1(score=888371.087433,gain=888371.087433);1-3(score=337078.032503,gain=337078.032503);1-2(score=334466.089338,gain=334466.089338)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,6,0.03,0.035,13713418,96984000,4,4,24,35352000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.679526668002,0.777777777778,6.07219082195,19440000,19440000,"4-5(score=4.14176e+06,gain=4.14176e+06);2-3(score=3.49502e+06,gain=3.49502e+06);0-1(score=1.12466e+06,gain=1.12466e+06);6-7(score=1.09211e+06,gain=1.09211e+06)","4-5(score=3.23683e+06,gain=3.23683e+06);2-3(score=2.77415e+06,gain=2.77415e+06);6-7(score=994043,gain=994043);0-1(score=895730,gain=895730)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=4141760,gain=4141760);2-3(score=3495024,gain=3495024);0-1(score=1124664,gain=1124664);6-7(score=1092114,gain=1092114);1-2(score=675156,gain=675156);1-3(score=635044,gain=635044);4-6(score=627960,gain=627960);5-6(score=467594,gain=467594)","4-5(score=3236825.06275,gain=3236825.06275);2-3(score=2774147.88466,gain=2774147.88466);6-7(score=994042.715203,gain=994042.715203);0-1(score=895729.663651,gain=895729.663651);1-2(score=276890.050801,gain=276890.050801);1-3(score=243787.859058,gain=243787.859058);4-6(score=87112.8028687,gain=87112.8028687);0-6(score=21838.0587843,gain=21838.0587843)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,7,0.035,0.04,13368742,96984000,4,4,23,32520000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.676909037924,0.777777777778,6.25452747776,19440000,19440000,"4-5(score=4.12284e+06,gain=4.12284e+06);2-3(score=3.41078e+06,gain=3.41078e+06);0-1(score=1.09624e+06,gain=1.09624e+06);6-7(score=863382,gain=863382)","4-5(score=3.20989e+06,gain=3.20989e+06);2-3(score=2.69126e+06,gain=2.69126e+06);0-1(score=865671,gain=865671);6-7(score=790605,gain=790605)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=4122838,gain=4122838);2-3(score=3410776,gain=3410776);0-1(score=1096236,gain=1096236);6-7(score=863382,gain=863382);1-2(score=676988,gain=676988);1-3(score=671624,gain=671624);4-6(score=607950,gain=607950);5-6(score=493666,gain=493666)","4-5(score=3209889.75503,gain=3209889.75503);2-3(score=2691255.70546,gain=2691255.70546);0-1(score=865670.990994,gain=865670.990994);6-7(score=790604.835767,gain=790604.835767);1-2(score=275109.520222,gain=275109.520222);1-3(score=271373.865402,gain=271373.865402);4-6(score=93902.8002703,gain=93902.8002703);5-6(score=40426.9610242,gain=40426.9610242)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,8,0.04,0.045,13889286,96984000,4,4,21,26856000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.692822188832,0.777777777778,5.98264189105,19440000,19440000,"4-5(score=4.07555e+06,gain=4.07555e+06);2-3(score=3.46203e+06,gain=3.46203e+06);6-7(score=1.54349e+06,gain=1.54349e+06);0-1(score=1.02898e+06,gain=1.02898e+06)","4-5(score=3.22507e+06,gain=3.22507e+06);2-3(score=2.76155e+06,gain=2.76155e+06);6-7(score=1.3839e+06,gain=1.3839e+06);0-1(score=820087,gain=820087)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=4075548,gain=4075548);2-3(score=3462026,gain=3462026);6-7(score=1543492,gain=1543492);0-1(score=1028976,gain=1028976);1-3(score=668304,gain=668304);1-2(score=650598,gain=650598);4-6(score=527590,gain=527590);5-6(score=490288,gain=490288)","4-5(score=3225071.76555,gain=3225071.76555);2-3(score=2761545.92381,gain=2761545.92381);6-7(score=1383901.16954,gain=1383901.16954);0-1(score=820086.9468,gain=820086.9468);1-3(score=295063.828266,gain=295063.828266);1-2(score=278164.667559,gain=278164.667559);0-6(score=27642.5496189,gain=27642.5496189);4-6(score=11212.1216922,gain=11212.1216922)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,ocs-volume,1401,0.7,9,0.045,0.05,13788978,96984000,4,4,23,32520000,0,1,0.333333333333,0.333333333333,0.333333333333,0.364513734224,0.364513734224,0.427616926503,0.685809974358,0.777777777778,6.03343710451,19440000,19440000,"4-5(score=4.10478e+06,gain=4.10478e+06);2-3(score=3.55438e+06,gain=3.55438e+06);6-7(score=1.28928e+06,gain=1.28928e+06);0-1(score=1.01487e+06,gain=1.01487e+06)","4-5(score=3.22954e+06,gain=3.22954e+06);2-3(score=2.81832e+06,gain=2.81832e+06);6-7(score=1.16537e+06,gain=1.16537e+06);0-1(score=806009,gain=806009)","1-2(score=1.2816e+07,gain=1.2816e+07);4-5(score=1.2816e+07,gain=1.2816e+07);6-7(score=9.216e+06,gain=9.216e+06);0-3(score=6.624e+06,gain=6.624e+06)","4-5(score=4104784,gain=4104784);2-3(score=3554382,gain=3554382);6-7(score=1289276,gain=1289276);0-1(score=1014870,gain=1014870);1-3(score=669834,gain=669834);1-2(score=661166,gain=661166);4-6(score=555470,gain=555470);5-6(score=498710,gain=498710)","4-5(score=3229535.26678,gain=3229535.26678);2-3(score=2818324.87998,gain=2818324.87998);6-7(score=1165365.99082,gain=1165365.99082);0-1(score=806009.489101,gain=806009.489101);1-3(score=286199.855774,gain=286199.855774);1-2(score=278305.931162,gain=278305.931162);4-6(score=40527.5385633,gain=40527.5385633);0-6(score=35516.0643679,gain=35516.0643679)","1-2(score=12816000,gain=12816000);4-5(score=12816000,gain=12816000);5-6(score=12816000,gain=12816000);2-3(score=9216000,gain=9216000);6-7(score=9216000,gain=9216000);0-3(score=6624000,gain=6624000);1-3(score=6480000,gain=6480000);4-6(score=6480000,gain=6480000)"
high-degree-aggregator-bias-replay,tl-ocs,1401,0.5,1,0.005,0.01,1195348,64656000,4,4,16,23568000,0,0.4,0.333333333333,0,0.333333333333,0.269487750557,0.364513734224,0.427616926503,0.773750930049,0.230769230769,53.0890214939,27648000,12960000,"0-1(score=120246,gain=120246);2-3(score=94440,gain=94440);5-6(score=81784,gain=81784)","6-7(score=63489.3,gain=63489.3);2-3(score=60383.2,gain=60383.2);4-5(score=52713.3,gain=52713.3);0-1(score=44703,gain=44703)","1-2(score=8.544e+06,gain=8.544e+06);4-5(score=8.544e+06,gain=8.544e+06);6-7(score=6.144e+06,gain=6.144e+06);0-3(score=4.416e+06,gain=4.416e+06)","0-1(score=120246,gain=120246);0-2(score=116706,gain=116706);0-3(score=96646,gain=96646);0-4(score=96646,gain=96646);0-5(score=96484,gain=96484);0-6(score=95620,gain=95620);1-2(score=95620,gain=95620);2-3(score=94440,gain=94440)","6-7(score=63489.3178489,gain=63489.3178489);2-3(score=60383.2326017,gain=60383.2326017);1-2(score=58383.5470708,gain=58383.5470708);4-5(score=52713.2905346,gain=52713.2905346);5-6(score=46765.4442522,gain=46765.4442522);0-1(score=44702.9736947,gain=44702.9736947);1-3(score=42109.2567989,gain=42109.2567989);4-6(score=39737.8655722,gain=39737.8655722)","1-2(score=8544000,gain=8544000);4-5(score=8544000,gain=8544000);5-6(score=8544000,gain=8544000);2-3(score=6144000,gain=6144000);6-7(score=6144000,gain=6144000);0-3(score=4416000,gain=4416000);1-3(score=4320000,gain=4320000);4-6(score=4320000,gain=4320000)"
